epochs           90
ckpt_save_interval 2
workers          4
mode             train
ckpt             None
net              pointnet2_msg
lr               0.0001
lr_decay         0.2
lr_clip          1e-06
decay_step_list  [50, 70, 80, 90]
weight_decay     0.001
output_dir       output
extra_tag        default
num_points       4096
use_sgd          False
batch_size       16
===============TRAIN EPOCH 1================
training epoch 1: it=56/232, total_it=57, loss=0.65578, fg_iou=0.435, accuracy=0.898, lr=0.000100
training epoch 1: it=57/232, total_it=58, loss=0.77288, fg_iou=0.261, accuracy=0.875, lr=0.000100
training epoch 1: it=58/232, total_it=59, loss=0.54279, fg_iou=0.534, accuracy=0.915, lr=0.000100
training epoch 1: it=59/232, total_it=60, loss=0.86239, fg_iou=0.161, accuracy=0.882, lr=0.000100
training epoch 1: it=60/232, total_it=61, loss=0.78584, fg_iou=0.253, accuracy=0.883, lr=0.000100
training epoch 1: it=61/232, total_it=62, loss=0.66167, fg_iou=0.399, accuracy=0.896, lr=0.000100
training epoch 1: it=62/232, total_it=63, loss=0.75287, fg_iou=0.278, accuracy=0.883, lr=0.000100
training epoch 1: it=63/232, total_it=64, loss=0.70927, fg_iou=0.368, accuracy=0.911, lr=0.000100
training epoch 1: it=64/232, total_it=65, loss=0.68416, fg_iou=0.364, accuracy=0.888, lr=0.000100
training epoch 1: it=65/232, total_it=66, loss=0.72957, fg_iou=0.338, accuracy=0.903, lr=0.000100
training epoch 1: it=66/232, total_it=67, loss=0.68147, fg_iou=0.374, accuracy=0.911, lr=0.000100
training epoch 1: it=67/232, total_it=68, loss=0.85502, fg_iou=0.173, accuracy=0.884, lr=0.000100
training epoch 1: it=68/232, total_it=69, loss=0.64349, fg_iou=0.442, accuracy=0.911, lr=0.000100
training epoch 1: it=69/232, total_it=70, loss=0.67871, fg_iou=0.396, accuracy=0.916, lr=0.000100
training epoch 1: it=70/232, total_it=71, loss=0.77244, fg_iou=0.273, accuracy=0.900, lr=0.000100
training epoch 1: it=71/232, total_it=72, loss=0.62722, fg_iou=0.440, accuracy=0.912, lr=0.000100
training epoch 1: it=72/232, total_it=73, loss=0.66814, fg_iou=0.406, accuracy=0.920, lr=0.000100
training epoch 1: it=73/232, total_it=74, loss=0.70554, fg_iou=0.336, accuracy=0.902, lr=0.000100
training epoch 1: it=74/232, total_it=75, loss=0.84080, fg_iou=0.193, accuracy=0.890, lr=0.000100
